Id,Burg,State,Culture,Population,Capital,Port
52,Jiacheng,Siz Guo,Hantzu,11115,,
53,Yeog,Wisham,Koryo,11816,,port
54,Osberna,Siz Guo,Norse,27462,,
55,Nosheadge,Hesia,Angshire,11457,,port
56,Mortecy,Frenaia,Luari,10070,,
57,Jiantao,Qig Guo,Hantzu,14085,,
58,Selul,Dursia,Efratic,10796,,
59,Qaragash,Dursia,Efratic,13783,,
60,Zhending,Siz Guo,Hantzu,22789,,
61,Raugar,Siz Guo,Norse,8790,,
62,Taiwai,Wisham,Guantzu,11895,,port
63,Presda,Ghria,Norse,27807,,
64,Yichang,Hagz,Hantzu,9458,,
65,Mumru Qa,Dursia,Efratic,14057,,port
66,Chamu Cevo,Pavantia,Luari,9083,,
67,Jardie,Pavantia,Luari,11470,,port
68,Malwaliston,Hesia,Angshire,10784,,
69,Jiqing,Siz Guo,Hantzu,11829,,port
70,Huagle,Siz Guo,Hantzu,11799,,port
71,Machau,Wisham,Guantzu,10155,,
72,Rivistoma,Preliusia,Romian,25311,,port
73,Fuembelijue,Quinia,Astellian,12087,,
74,Tinais,Pavantia,Luari,11905,,port
75,Nigding,Hagz,Hantzu,17810,,
76,Liang,Siz Guo,Hantzu,7786,,
77,Oldoares,Panelia,Portuzian,10579,,port
78,Thethe,Hesia,Angshire,8486,,
79,Inikha,Dursia,Efratic,10814,,
80,Chezhong,Hagz,Hantzu,14174,,
81,Haling,Hesia,Angshire,9164,,
82,Causted,Wisham,Angshire,9424,,
83,Coullene,Frenaia,Luari,8496,,
84,Chantarson,Pavantia,Luari,7754,,
85,Tabigdon,Wisham,Angshire,7771,,
86,Clitherham,Hesia,Angshire,7773,,
87,Lazhou,Siz Guo,Hantzu,7434,,
88,Shucheng,Siz Guo,Hantzu,7765,,
89,Gwanju,Chir,Koryo,13238,,port
90,Gaozhong,Qig Guo,Hantzu,7517,,
91,Milbole,Hesia,Angshire,7495,,
92,Posto Fi,Hesia,Angshire,7802,,
93,Hwacheonsan,Wisham,Koryo,11855,,port
94,Senveleredw,Ghria,Keltan,7430,,
95,Xinmen,Hagz,Hantzu,16163,,
96,Nealiaris,Seia,Elladan,7430,,
97,Abros,Seia,Elladan,7436,,
98,Yichang,Chenan Guo,Hantzu,19148,,
99,Yankagnan,Hagz,Hantzu,7836,,
100,Briarenne Mes,Pavantia,Luari,7819,,
101,Reabing,Hesia,Angshire,7463,,
102,Fabofriomar,Panelia,Portuzian,8103,,
103,Ghrai,Ghria,Keltan,7859,,
104,Calton,Hesia,Angshire,7841,,
105,Pedrolires,Panelia,Portuzian,10114,,port
106,Machesbury,Hesia,Angshire,7440,,
107,Witfodge,Hesia,Angshire,7799,,
108,Kwong,Wisham,Guantzu,7856,,
109,Pishan,Chenan Guo,Hantzu,7788,,
110,Tsamhoiking,Neutrals,Guantzu,7820,,
111,Laikiuyuen,Wisham,Guantzu,7811,,
112,Hescom,Hesia,Angshire,7458,,
113,Chang,Qig Guo,Hantzu,13497,,
114,Bontardonvil,Pavantia,Luari,7795,,
115,Dillesha,Dursia,Efratic,9457,,
116,Namseo,Wisham,Koryo,7453,,
117,Sodoreus,Parteia,Elladan,7549,,
118,Ucillalola,Quinia,Astellian,7162,,
119,Baduppar,Dursia,Efratic,9871,,
120,Bridbury,Hesia,Angshire,7481,,
121,Actorenna,Preliusia,Romian,11973,,port
122,Zezhou,Siz Guo,Hantzu,7198,,
123,Rickenbach,Ghria,Shwazen,7812,,
124,Aberl,Ghria,Keltan,7554,,
125,Sasbach,Ghria,Shwazen,7485,,
126,Luzhou,Siz Guo,Hantzu,7155,,
127,Zhang,Siz Guo,Hantzu,7165,,
128,Muron,Parteia,Elladan,7132,,
129,Daktong,Wisham,Guantzu,7535,,
130,Echilleurs,Pavantia,Luari,9222,,
131,Ulyagsu,Chir,Koryo,11053,,port
132,Cobrie,Pavantia,Luari,9889,,
133,Chuesipha,Dursia,Efratic,9811,,
134,Callum,Preliusia,Romian,7227,,
135,Vintegova,Panelia,Portuzian,10270,,port
136,Crecom,Hesia,Angshire,7505,,
137,Bainan,Chenan Guo,Hantzu,7203,,
138,Badourixei,Panelia,Portuzian,7212,,
139,Lipigkeli,Qig Guo,Hantzu,7484,,
140,Liuzhou,Qig Guo,Hantzu,7477,,
141,Schengen,Ghria,Shwazen,7903,,
142,Ninganding,Qig Guo,Hantzu,7194,,
143,Cleorough,Hesia,Angshire,7865,,
144,Louziaxial,Panelia,Portuzian,10273,,port
145,Geauchilles,Pavantia,Luari,8888,,
146,Shramberg,Ghria,Shwazen,7517,,
147,Opeid,Siz Guo,Norse,22547,,
148,Buchamney,Wisham,Angshire,11929,,port
149,Bollaveta,Siz Guo,Norse,7545,,
150,Bylinapopo,Seia,Elladan,7185,,
151,Gyeoghe,Chir,Koryo,7193,,
152,Zunyang,Chenan Guo,Hantzu,7568,,
153,Sishing,Wisham,Guantzu,7556,,
154,Faboa,Panelia,Portuzian,7233,,
155,Gazhou,Qig Guo,Hantzu,6835,,
156,Kwogkumtei,Wisham,Guantzu,7506,,
157,Coatlihuatlan,Ghria,Nawatli,7535,,
158,Ripen,Ghria,Shwazen,7527,,
159,Taipo,Wisham,Guantzu,7833,,
160,Regiovinis,Preliusia,Romian,7853,,
161,Abetaberal,Ghria,Keltan,27231,,
162,Senoeianos,Seia,Elladan,7553,,
163,Shaoqing,Chenan Guo,Hantzu,7182,,
164,Kilwynverar,Ghria,Keltan,7868,,
165,Zhenhuang,Siz Guo,Hantzu,7535,,
166,Jianxinan,Qig Guo,Hantzu,7597,,
167,Pinping,Wisham,Guantzu,7207,,
168,Thaxted,Chir,Angshire,6887,,
169,Baiping,Hagz,Hantzu,7562,,
170,Jiping,Qig Guo,Hantzu,7534,,
171,Callum,Preliusia,Romian,8900,,
172,Celmes,Panelia,Portuzian,19229,,
173,Alain,Ghria,Keltan,12019,,port
174,Krober,Ghria,Shwazen,7514,,
175,Lania,Panelia,Portuzian,6563,,
176,Titonrith,Hesia,Angshire,7588,,
177,Yenting,Panelia,Guantzu,7238,,
178,Yochughoi,Wisham,Guantzu,7944,,
179,Cabrigh,Wisham,Angshire,9539,,
180,Myrnenai,Seia,Elladan,8865,,
181,Exnigham,Hesia,Angshire,7270,,
182,Benay,Frenaia,Luari,7265,,
183,Tsang,Neutrals,Guantzu,6545,,
184,Heseognam,Chir,Koryo,7249,,
185,Anumacogon,Preliusia,Romian,11536,,port
186,Yazhou,Siz Guo,Hantzu,7574,,
187,Heung,Neutrals,Guantzu,15077,,port
188,Rholis,Seia,Elladan,7223,,
189,Chichesbury,Hesia,Angshire,7607,,
190,Vignelliers,Pavantia,Luari,7271,,
191,Tanyaghua,Siz Guo,Hantzu,7864,,
192,Boigne,Frenaia,Luari,7929,,
193,Metherara,Seia,Elladan,7532,,
194,Sawanhaunyi,Wisham,Guantzu,7906,,
195,Boreatedil,Quinia,Astellian,11942,,
196,Hiezus,Parteia,Elladan,7262,,
197,Nachang,Hagz,Hantzu,17226,,
198,Shanfaukok,Wisham,Guantzu,7273,,
199,Tellagrig,Dursia,Efratic,7561,,
200,Lulaquintia,Preliusia,Romian,7539,,
201,Tanil,Panelia,Portuzian,7251,,
202,Lurorum,Preliusia,Romian,7291,,
203,Brotierlinne,Frenaia,Luari,9613,,
204,Pexazubal,Panelia,Portuzian,6551,,
205,Etovium Iu,Preliusia,Romian,7255,,
206,Digkejian,Siz Guo,Hantzu,6613,,
207,Yanmen,Qig Guo,Hantzu,7299,,
208,Funyi,Chenan Guo,Hantzu,7209,,
209,Neleu,Dursia,Efratic,6300,,
210,China,Quinia,Astellian,6588,,
211,Jiangan,Siz Guo,Hantzu,7561,,
212,Thingi,Ghria,Norse,12009,,port
213,Ha Ba,Dursia,Efratic,6235,,
214,Samingalhei,Panelia,Portuzian,6606,,
215,Migling,Panelia,Guantzu,7957,,
216,Brirairbar,Ghria,Keltan,27559,,
217,Gawra,Dursia,Efratic,6929,,
218,Shlimel,Ghria,Shwazen,7287,,
219,Rawdayala,Dursia,Efratic,7643,,
220,Guidhust,Hesia,Angshire,13940,,
221,Phlius,Seia,Elladan,6905,,
222,Lierechesc,Ghria,Shwazen,7621,,
223,Gourcoton,Seia,Elladan,7595,,
224,Shorough,Hesia,Angshire,7288,,
225,Ilerzar,Ghria,Shwazen,7272,,
226,Acon,Ghria,Keltan,7226,,
227,Dusle,Hesia,Angshire,11657,,port
228,Monillayo,Quinia,Astellian,7631,,
229,Hanes,Parteia,Elladan,6280,,
230,Huizhou,Siz Guo,Hantzu,7305,,
231,Burming,Hesia,Angshire,14574,,
232,Yizhou,Seia,Hantzu,6571,,
233,Abeglas,Ghria,Keltan,7990,,
234,Myrimar,Ghria,Norse,27308,,
235,Qaniba,Dursia,Efratic,6993,,
236,Taihuaiali,Siz Guo,Hantzu,22650,,
237,Wuzhou,Siz Guo,Hantzu,7328,,
238,Shautaumun,Wisham,Guantzu,7321,,
239,Aereaion,Parteia,Elladan,6267,,
240,Bolden,Ghria,Shwazen,7976,,
241,Naiscabigu,Preliusia,Romian,7265,,
242,Shanisu,Dursia,Efratic,6327,,
243,Naqat,Dursia,Efratic,7935,,
244,Banjiang,Chenan Guo,Hantzu,7663,,
245,Uacalcolotzal,Ghria,Nawatli,12471,,port
246,Cherollessig,Pavantia,Luari,7342,,
247,Ursa Hata,Dursia,Efratic,6919,,
248,Ahuacalcoto,Ghria,Nawatli,7628,,
249,Brasbury,Hesia,Angshire,7595,,
250,Jigeumseo,Chir,Koryo,6952,,
251,Vlaruanora,Panelia,Portuzian,6590,,
252,Bilereiamt,Ghria,Shwazen,7660,,
253,Miquerus,Quinia,Astellian,6608,,
254,Shaozhou,Qig Guo,Hantzu,6953,,
255,Alheita,Panelia,Portuzian,7647,,
256,Manumba,Dursia,Efratic,7653,,
257,Chagning,Siz Guo,Hantzu,8015,,
258,Stastan,Ghria,Norse,28617,,
259,Darmouth,Hesia,Angshire,12133,,port
260,Chaberdennar,Ghria,Keltan,7269,,
261,Akroilaris,Seia,Elladan,11196,,port
262,Jiachuan,Qig Guo,Hantzu,6945,,
263,Fuembellos,Quinia,Astellian,7279,,
264,Vosbach,Ghria,Shwazen,7598,,
265,Noris,Ghria,Keltan,8022,,
266,Quenas,Quinia,Astellian,6626,,
267,Gratle,Wisham,Angshire,7274,,
268,Rorkirbolz,Ghria,Shwazen,7604,,
269,Nigde,Siz Guo,Hantzu,8035,,
270,Huizhou,Chenan Guo,Hantzu,8285,,
271,Panco,Panelia,Portuzian,7826,,port
272,Xipigtu,Hagz,Hantzu,7698,,
273,Fukfu,Wisham,Guantzu,13875,,port
274,Nercutum,Preliusia,Romian,7633,,
275,Adincaxias,Panelia,Portuzian,6947,,
276,Baoding,Qig Guo,Hantzu,7650,,
277,Gatford,Wisham,Angshire,7356,,
278,Antal,Panelia,Portuzian,7377,,
279,Liuzhou,Siz Guo,Hantzu,7671,,
280,Cabervieram,Ghria,Keltan,8040,,
281,Eceblale,Parteia,Elladan,6307,,
282,Prielipha,Chenan Guo,Elladan,9372,,
283,Parta,Quinia,Astellian,10392,,port
284,Batania,Preliusia,Romian,8330,,
285,Fronho,Panelia,Portuzian,7364,,
286,Taifeng,Qig Guo,Hantzu,7673,,
287,Lulindian,Siz Guo,Hantzu,7366,,
288,Cerbeilleau,Pavantia,Luari,7040,,
289,Chungongy,Juapagos,Guantzu,22008,,
290,Abergorkei,Ghria,Keltan,8033,,
291,Manoteira,Panelia,Portuzian,10388,,port
292,Periorochar,Quinia,Astellian,7316,,
293,Gunjeop,Wisham,Koryo,7664,,
294,Pantena,Quinia,Astellian,10444,,port
295,Avirmabua,Panelia,Portuzian,6724,,
296,Dejeon,Chir,Koryo,7341,,
297,Thaching,Hesia,Angshire,10389,,
298,Cytosme,Parteia,Elladan,8036,,
299,Vacant,Seia,Elladan,7334,,
300,Alveda,Quinia,Astellian,11331,,
301,Weiatong,Siz Guo,Hantzu,7719,,
302,Balat,Dursia,Efratic,6698,,
303,Ukin,Dursia,Efratic,7032,,
304,Xinigping,Chenan Guo,Hantzu,7357,,
305,Betford,Hesia,Angshire,8038,,
306,Myndopenus,Seia,Elladan,6655,,
307,Sofjor,Siz Guo,Norse,7667,,
308,Thatum,Dursia,Efratic,7044,,
309,Liyuan,Qig Guo,Hantzu,11716,,
310,Zhaoqing,Chenan Guo,Hantzu,10359,,
311,Roccalino,Neutrals,Tallian,4690,,
312,Hataman,Dursia,Efratic,7342,,
313,Tuchung,Panelia,Guantzu,7853,,port
314,Marelaremil,Quinia,Astellian,6672,,
315,Ancedanalo,Quinia,Astellian,4708,,
316,Bigrave,Hesia,Angshire,7061,,
317,Niyara,Dursia,Efratic,6672,,
318,Lerina,Hesia,Romian,7669,,
319,Jemrud,Dursia,Efratic,6674,,
320,Abersycly,Ghria,Keltan,8047,,
321,Bewestedge,Wisham,Angshire,7678,,
322,Sippa,Dursia,Efratic,7009,,
323,Lideqing,Siz Guo,Hantzu,7685,,
324,Siuking,Juapagos,Guantzu,17378,,
325,Sizhou,Hagz,Hantzu,7336,,
326,Iraranda,Panelia,Portuzian,6412,,
327,Inver,Ghria,Keltan,8071,,
328,Brasterlow,Wisham,Angshire,7665,,
329,Sucheok,Chir,Koryo,7012,,
330,Siuklo,Panelia,Guantzu,7735,,
331,Pishan,Neutrals,Guantzu,6391,,
332,Suibeilong,Chenan Guo,Hantzu,7002,,
333,Conanum,Hesia,Romian,9353,,
334,Taiqian,Qig Guo,Hantzu,7341,,
335,Caspelares,Panelia,Portuzian,7699,,
336,Loglo,Wisham,Guantzu,4718,,
337,Shaming,Qig Guo,Hantzu,7410,,
338,Shungyuan,Qig Guo,Hantzu,5104,,
339,Gatford,Wisham,Angshire,7705,,
340,Kihkan,Dursia,Efratic,6752,,
341,Chalililip,Seia,Elladan,6729,,
342,Taibeiqian,Siz Guo,Hantzu,7754,,
343,Gawa La,Dursia,Efratic,7390,,
344,Waichau,Wisham,Guantzu,7429,,
345,Bollur,Siz Guo,Norse,7688,,
346,Losbach,Ghria,Shwazen,8086,,
347,Apen,Ghria,Shwazen,8079,,
348,Carvesinhal,Panelia,Portuzian,7069,,
349,Jihuaiqing,Qig Guo,Hantzu,4682,,
350,Choihing,Juapagos,Guantzu,17405,,
351,Parvioniodu,Preliusia,Romian,7407,,
352,Ebruachi,Ghria,Keltan,8073,,
353,Jiang,Qig Guo,Hantzu,7035,,
